skill_similarity,sessions_completed,rating,coding_submissions,discussion_activity,session_duration,response_time,learning_success
0.51,0,2.8,18,6,97,5,0
0.37,3,2.9,5,19,59,7,0
0.8,2,2.8,11,17,108,5,0
0.86,7,2.6,23,18,54,13,1
0.43,2,3.6,7,13,68,2,0
0.3,2,5.0,21,20,43,6,0
0.64,9,4.3,7,1,61,3,1
0.66,4,4.6,5,10,79,2,0
0.37,2,4.7,21,19,62,10,0
0.71,14,3.7,2,7,45,12,1
0.47,10,4.9,24,7,41,6,1
0.32,3,3.7,0,5,82,6,0
0.69,0,2.6,20,11,61,8,0
0.74,11,3.3,15,1,49,4,0
0.39,0,3.3,20,2,88,7,0
0.9,4,3.8,5,8,77,1,1
0.36,6,2.8,26,10,91,4,0
0.71,1,4.1,28,1,68,13,1
0.75,15,2.6,21,6,34,2,1
0.73,3,2.8,29,9,31,10,1
0.85,4,3.8,13,18,35,2,1
0.66,12,3.8,13,0,104,7,1
0.36,0,4.5,19,9,81,9,0
0.68,6,2.7,18,8,28,14,1
0.82,9,3.3,30,13,46,8,1
0.99,7,3.9,24,10,48,4,1
0.48,9,3.3,18,17,102,1,1
0.45,4,2.8,21,3,81,6,0
0.42,8,4.9,7,9,106,12,0
0.65,1,3.5,17,2,43,1,0
0.76,9,3.0,29,0,52,9,1
0.9,5,4.6,30,17,90,8,1
0.95,13,3.9,27,2,66,15,1
0.96,7,4.2,29,17,85,9,1
0.83,14,3.8,14,7,89,2,1
0.43,4,2.8,12,5,22,11,0
0.99,14,4.7,24,1,74,13,1
0.96,0,4.2,12,17,50,3,1
0.42,13,3.1,21,0,89,2,0
0.94,6,4.3,26,11,94,11,1
0.31,0,4.5,19,8,82,12,0
0.7,0,3.2,7,10,101,2,0
0.9,12,2.9,2,7,20,2,1
0.74,2,2.8,20,0,104,9,0
0.31,8,4.9,4,14,68,14,0
0.4,4,2.6,22,11,92,3,0
0.49,8,4.4,10,15,35,11,1
